Codigo,Clave,desc_prod,Inv,Clasificacion,Promedio Vta Mes,Cobertura (Mes),Cobertura Dias (30)
1105751,PIN CH3.5APP,CHOVATEK 3.5MM FV OBRAS GRAV. ROJA 4 AÑO,1,A,46.75,0,1
UR-3X14-500,ACE UR-3X14-500,CORDON USO RUDO SKY-FORT 3 X 14 UR-3X14-,646.5,A,71.29,9,272
11620,TRU LIAG-120,LIJA P/AGUA TRUPER  120 C-99,132,A,93.08,1,43
19681,TRU LTP-8M,LIMA TRIANGULO PESADO C/MANGO LTP-8M TRU,43,A,73.58,1,18
UR-2X16-500,ACE UR-2X16-500,CORDON USO RUDO SKY-FORT 2 X 16 UR-2X16-,824,A,69.67,12,355
46280,TRU CAN-1020,CANALETA VOLTECK PLASTICA 1 VIA   CAN-10,96,A,75.25,1,38
46990,TRU LED-75SL,FOCO LED- 75SL LED 75W VOLTECK CON SENSO,32,A,63.33,1,15
14483,TRU BRT-2,BROCHA TRUPER M/PLASTICO  50MM BRT-2,108,A,108,1,30
12591,TRU MSK-1,CINTA MASKING TAPE TRUPER 25MM 1 MSK-1,94,A,102.67,1,27
44616,TRU TORE-3/16X3/4,TORNILLO GOTA 05X19 3/16 X 3/4 SIN TUERC,182,A,50.42,4,108
48696,TRU PIJ-1232,PIJA TABLAROCA   12X 32MM 12X1 1/4 PIJ-1,4426,A,97.58,45,1361
49653,TRU CC-611,CONECTOR C/F ROSCA EXTERIOR 13MM 1/2 CC-,185,A,92.33,2,60
13891,TRU R-ROPI-930,REPUESTO P/RODILLO TRUPER R-ROPI-930 1 1,116,A,113.5,1,31
44618,TRU TORE-3/16X11/4,TORNILLO GOTA 05X32 3/16 X 1 1/4 SIN TUE,746,A,43.67,17,513
44552,TRU TUE-1/2,TUERCA HEXAGONAL 13MM 1/2  FIERO,2239,A,66.92,33,1004
20401,TRU LEN-ST-P,LENTE SEGURIDAD PRETUL LEN-ST-P CLARO,5,A,65.25,0,2
49627,TRU CHU-5040,CHUPON P/FREGADERO 2 X 1 1/2 CHU-5040 FO,123,A,84.42,1,44
48717,TRU PILA-6X3/8,PIJA P/LAMINA   6X 9MM 6 X 3/8 FIERO PIL,2617,A,105.67,25,743
47059,TRU CODO-EB,PLACA VOLTECK ESPAÑOLA CODO-EB CONTACTO,51,A,60.75,1,25
48722,TRU PILA-6X1-1/4,PIJA P/LAMINA   6X32MM 6 X 1 1/4 FIERO P,3430,A,140.42,24,733
21025,TRU CHS-200N,CHALECO CHS-200N PRETUL NARANJA C/REFLEJ,38,A,50.75,1,22
46282,TRU CAN-1735,CANALETA VOLTECK PLASTICA 1 VIA   CAN-17,49,A,50.42,1,29
27242,TRU POIN-10B,PORTALAMPARA POIN-10B VOLTECK BASIC P/IN,208,A,40.67,5,153
17625,TRU ACES-20,ACEITE TRUPER P/MOTOR 2 TIEMPOS 16 OZ. A,64,A,90.5,1,21
44411,TRU PILA-8X3/8,PIJA P/LAMINA   8X09MM 8X3/8 FIERO PILA-,1236,A,58.33,21,636
46316,TRU AL-AAA,PILA VOLTECK ALKALINA AL-AAA,54,A,70.58,1,23
19871,TRU MAN-1I,MANGUERA INDL. LIGERA 25MM 1 TRUPER,283.2,A,75.63,4,112
44569,TRU TORM-5/16X2,TORNILLO HEXAGONAL 08X 50 5/16 X 2 SIN T,837,A,55.25,15,454
AL-A55,COF AL-A55,ALIM. COFLEX ACERO 1/2X 1/2 C 55 CM AL-A,221,A,70.67,3,94
19862,TRU MAN-3/8N,MANGUERA P/NIVEL TRUPER 10MM 3/8 MAN-3/8,201,A,66.54,3,91
1010-0007-SA20,CNO 0001-SA20,CREST BLANCO P/INSTALACION D/PISOS Y AZU,67,A,50.42,1,40
44379,TRU AR-19A,ARMELLA ABIERTA 19 X 60 FIERO AR-19A,2375,A,62.17,38,1146
46226,TRU LED-250,LAMPARA LED-250 30W EQ.250W ALTA POTENCI,34,A,59.42,1,17
46228,TRU LED-450,LAMPARA LED-450 50W EQ. 450W ALTA POTENC,23,A,57.5,0,12
48107,TRU CILG-9,CILINDRO  9 KG. FOSET CILG-9,76,A,53.25,1,43
SH2062,HIM SH2062,MARCADOR P/METAL PLANO T/JABONCILLO SH20,344,A,56.92,6,181
13878,TRU ROPI-925,RODILLO TRUPER ROPI-925 9X1 RUGOSA,76,A,66.67,1,34
13473,TRU CHS-600N,CHALECO CHS-600N NARANJA CINTAS DOBLES C,8,A,40.58,0,6
3409,CIN 3409,TAQUETE DE MADERA HANDYHOME RANURADO 8 X,128,A,37.5,3,102
28007,TRU LED-100FBX4,FOCO LED VOLTECK BASIC LED-100FBX4 L. D/,51,A,58.25,1,26
44082,TRU NUDO-1/8,NUDO P/CABLE ACERO 3.1MM 2 PZAS. 1/8 NUD,43,A,66.33,1,19
44559,TRU TORM-1/4X11/4,TORNILLO HEXAGONAL 06X 32 1/4 X 1 1/4 SI,1291,A,73.67,18,526
AL-A40,COF AL-A40,ALIM. COFLEX ACERO 1/2 X 1/2 X 40CM AL-A,241,A,65.5,4,110
28008,TRU LED-125FBX4,FOCO LED VOLTECK BASIC LED-125FBX4 L. D/,26,A,63.33,0,12
44623,TRU TORE-1/4X1/2,TORNILLO GOTA 06X13 1/4 X 1/2 SIN TUERCA,1077,B,36.83,29,877
10919,TRU ESEX-300,ESPUMA EXPANSIVA TRUPER 300 ML ESEX-300,41,A,59.08,1,21
45419,TRU PVC-263,COPLE HIDRAULICO C40 25MM 1   PVC-263,113,A,62.5,2,54
44362,TRU TAE-1/4,TAQUETE EXPANSOR S/TOR. 06MM 4 PZS.TAE-1,23,A,75.5,0,9
49626,TRU CHU-5032,CHUPON P/LAVABO 2 X 1 1/4 CHU-5032 FOSET,175,A,75.08,2,70
41036,TRU EESQ-4,ESCUADRA ESQUINERA FIERO 100MM 4 EESQ-4,389,A,41.83,9,279
18565,TRU SIL-100BCT,SILICON TRUPER BAÑOS Y COCINAS 280ML TRA,53,A,76.75,1,21
48130,TRU CODO-IB,PLACA VOLTECK ITALIANA BCA. CONTACTO DUP,112,A,56.92,2,59
UR-2X18-500,ACE UR-2X18-500,CORDON USO RUDO SKY-FORT 2 X 18 UR-2X18-,493,A,50.83,10,291
46225,TRU LED-170,LAMPARA LED-170 20W EQ.170W ALTA POTENCI,45,A,61.42,1,22
47969,TRU CODO-LB,PLACA VOLTECK LISBOA 2 CONTACTOS DUPLEX,49,A,47.58,1,31
10920,TRU ESEX-500,ESPUMA EXPANSIVA TRUPER 500 ML ESEX-500,87,A,51.5,2,51
48701,TRU PIJ-1275,PIJA TABLAROCA   12X 76MM 12X3 PIJ-1275,3054,A,96.92,32,945
48724,TRU PILA-6X2,PIJA P/LAMINA   6X50MM 6 X 2 FIERO PILA-,2472,A,66.83,37,1110
